what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920355307
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920356129
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920359496
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920360360
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920365668
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920366652
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920370752
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920371769
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920372719
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920373526
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920379174
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920379676
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920393590
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920394531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920394866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920395275
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1506920399276
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920403117
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920404266
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1506920406283
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1506920409529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920411255
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920411980
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920426011
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920432218
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1506920437322
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506920437495
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506920437555
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1506920437581
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506920444010
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506920444077
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1506920444099
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506920445160
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1506920446202
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1506920450273
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506920450452
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1506920450481
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1506920452009
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1506920453680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920462186
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920463207
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920471965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506920474111
